stage,script,purpose,writes,in_git
Supporting,thesis/presentations/build_chapter05_defence.py,"Build the Chapter 5 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter06_defence.py,"Build the Chapter 6 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter07_defence.py,"Build the Chapter 7 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter08_defence.py,"Build the Chapter 8 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter09_defence.py,"Build the Chapter 9 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter10_defence.py,"Build the Chapter 10 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_master_deck.py,"Build the master deck: the whole model, explained in detail, from artefacts.",,no
Supporting,thesis/presentations/build_ml_foundations_deck.py,"Build the ML foundations deck: the mathematics and computation, from first principles.",,no
Supporting,thesis/presentations/deck_common.py,Shared chrome for the thesis defence decks.,,no
Supporting,thesis/presentations/validate_deck.py,Check a defence deck for the layout defects that a build script cannot see.,,no
Supporting,thesis/verify_chapter_numbers.py,Check every quantitative claim in a thesis chapter against the artefact it cites.,,no
Supporting,tools/build_data_manifest.py,Generate docs/DATA_MANIFEST.md from the artefacts actually behind the deployed panel.,,yes
Supporting,tools/build_endpoint_justification.py,"Generate docs/ENDPOINT_JUSTIFICATION.md from the current, deployed panel.",,yes
Supporting,tools/build_evidence_map.py,"Write the reviewer's entry point: every claim, its number, and the file that produced it.",,yes
Supporting,tools/build_master_training_vectors.py,"The actual numeric feature vectors used to train every model, and how each was used.",,yes
Supporting,tools/build_ml_formulas.py,"Every mathematical calculation in the deployed pipeline, its formula, and a live worked example.",,yes
Supporting,tools/build_provenance.py,"Generate the provenance map: every artefact, what produced it, and what it was produced from.","repro/PROVENANCE.md, repro/provenance.json",yes
Supporting,tools/build_start_here.py,Write the front page of the submission package: what it is and how to walk it.,,yes
Supporting,tools/build_submission_package.py,Assemble the numbered submission package an institutional review needs.,,yes
Supporting,tools/build_supplementary_docx.py,"Convert the supplementary technical documents to Word, in the same style as the manuscript.",,yes
Supporting,tools/check_freshness.py,Is any derived artefact older than something it was derived from?,,yes
Supporting,tools/compress_models.py,"Recompress the model files, verifying that predictions are unchanged.",,yes
Supporting,tools/correct_registry_sensitivity.py,"Replace the registry's in-sample sensitivity with the held-out figure, and nothing else.",,yes
Supporting,tools/install_hooks.py,Install the git hooks that make the freshness check unskippable.,,yes
Supporting,tools/reproduce.py,"One command that regenerates the results, on any platform.",,yes
Supporting,validation/repro/r00_environment.py,"Capture everything needed to say what produced a number, before producing any.","validation/repro/environment.json, validation/repro/pip_freeze.txt",no
Supporting,validation/repro/r01_leakage.py,"Leakage and split integrity, checked independently of the pipeline's own claims.","validation/repro/leakage_report.csv, validation/repro/leakage_summary.json",no
Supporting,validation/repro/r02_recompute_cv.py,Re-run the core cross-validation from the endpoint tables and score it independently.,"validation/repro/recomputed_folds.csv, recomputed_summary.csv, recomputed_bootstrap.csv",no
Supporting,validation/repro/r03_ledger.py,Build the reproduction ledger: every reported number against an independently produced one.,validation/REPRO_LEDGER.csv,no
Supporting,validation/repro/r04_null_models.py,Null models: what score does this pipeline produce when there is nothing to learn?,validation/repro/null_models.csv,no
Supporting,validation/repro/r05_calibration_importance.py,"Calibration curves and feature importance, recomputed from a re-run of the pipeline.","validation/repro/calibration_curve.csv, calibration_curve.png,; validation/repro/feature_importance.csv",no
Supporting,validation/repro/r06_shap.py,"SHAP attributions for the deployed classifiers, which the first reproduction pass could not run.","validation/repro/shap_values.csv, shap_summary.png, shap_vs_permutation.csv",no
